history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-32|AddA-48|AddA-44|AddA-46|AddA-48|RmA-19|RmA-14|RmA-0|RmA-8|AddA-4|AddA-4,0.0,0.0,CCCC(=O)Oc1cc(C)c(C)c(C)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-6,0.0,0.0,O=C(CO)Oc1ccccc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|RmA-12|AddA-39|ChB-1055|RmA-12|AddA-24|RmA-10|RmA-2|AddA-28,0.0,0.0,CCOc1c(C)ccc(C)c1C
CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-36,0.0,0.0,COc1ccc(OC(C)=O)c(C(=O)O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-33|AddA-56|RmA-14|AddA-4|AddA-24,0.0,0.0,CCCOc1c(C)cc(N)cc1C(=O)OC
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-54|AddA-31|ChB-1833|RmA-7|RmA-3|AddA-25|AddA-30|ChB-1130,0.0,0.0,COCc1cc(NO)ccc1OC(=O)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-35|AddA-44|RmA-0|RmA-2|AddA-60|RmA-0|AddA-40|RmA-6|AddA-4|AddA-4,0.0,0.0,CCCOC(=O)c1cc(F)c(C)c(C)c1OC
CC(=O)Oc1ccccc1C(=O)O|RmA-12|AddA-39|ChB-1055|AddA-52|AddA-4|AddA-32|AddA-58|AddA-60,0.0,0.0,CCOCc1c(OC(C)=O)ccc(COC)c1F
CC(=O)Oc1ccccc1C(=O)O|AddA-33|AddA-56|RmA-14|AddA-25|AddA-20,0.0,0.0,CCOc1c(C(=O)OC)cc(N)c(N)c1C
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-54|AddA-31|ChB-1833|RmA-7|RmA-3|AddA-25|ChB-1106|AddA-60,0.0,0.0,COCC(=O)Oc1ccc(N)cc1COC
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-32|AddA-48|AddA-44|AddA-46|AddA-48|RmA-19|RmA-0|AddA-6|AddA-36|AddA-64|RmA-20,0.0,0.0,COCOC(=O)c1cc(C)c(COC)cc1OC(C)=O
CC(=O)Oc1ccccc1C(=O)O|AddA-54|RmA-2|RmA-12|AddA-34|AddA-36|AddA-56|AddA-20|RmA-0|AddA-49|RmA-3|RmA-11,0.0,0.0,COCc1c(OC)ccc(C)c1OC
CC(=O)Oc1ccccc1C(=O)O|AddA-36|AddA-40|AddA-60|AddA-42|AddA-48|RmA-0|AddA-39|AddA-32|AddA-6|AddA-80|RmA-12,0.0,0.0,COCOCC(=O)Oc1c(C)ccc(C)c1C(=O)OC
CC(=O)Oc1ccccc1C(=O)O|AddA-29|AddA-56|ChB-707|ChB-325|AddA-33,0.0,0.0,CC(=O)Oc1cc(COC=O)cc(NN)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-4|AddA-56|AddA-28|ChB-1448,0.0,0.0,COC(=O)c1cccc2cc(C)c(=O)oc12
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-53|AddA-24|AddA-32|AddA-54|ChB-711|RmA-0|AddA-20,0.0,0.0,COc1cc(C)c2c(c1)OC(=O)C(N)COC2=O
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-32|AddA-48|AddA-44|AddA-46|AddA-48|RmA-19|RmA-14|RmA-0|RmA-8|AddA-4|ChB-2109,0.0,0.0,C#CC(=O)Oc1cc(C)c(C)c(C)c1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-35|AddA-44|RmA-0|RmA-2|AddA-60|RmA-0|AddA-40|RmA-6|AddA-4|RmA-15,0.0,0.0,CCOC(=O)c1cc(F)c(C)c(C)c1O
CC(=O)Oc1ccccc1C(=O)O|AddA-30|AddA-32|AddA-36|AddA-24|AddA-32|AddA-37|AddA-62|AddA-64|AddA-4|AddA-7,0.0,0.0,COC(=O)c1c(OC(=O)CN)cc(OCOCCF)c(C)c1C
CC(=O)Oc1ccccc1C(=O)O|AddA-54|AddA-29|RmA-2|AddA-34|RmA-6|AddA-32|RmA-14|AddA-56|AddA-20|AddA-28|ChB-754|AddA-38,0.0,0.0,COC(=O)c1cc(OCO)c(C)c2c1OC(C)C2
CC(=O)Oc1ccccc1C(=O)O|AddA-52|AddA-24|AddA-32|AddA-48|AddA-44|AddA-46|AddA-48|RmA-19|RmA-0|AddA-6|AddA-36|AddA-64|RmA-11,0.0,0.0,CCOc1cc(COC)c(C)c(C)c1C(=O)OCOC
CC(=O)Oc1ccccc1C(=O)O|AddA-54|RmA-2|RmA-12|AddA-34|AddA-36|AddA-56|AddA-20|RmA-0|AddA-49|RmA-3|ChB-2434,0.0,0.0,COCc1c(OC)ccc(C#N)c1OC
