step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
-1,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.2799624775142153,-0.7067820925991801,-0.9289713352720299,-0.12553630570767865,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.31816137053680593,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.28031272607760294
0,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.2799624775142153,-0.7067820925991801,-0.9289713352720299,-0.12553630570767865,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.31816137053680593,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.28031272607760294
1,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.2367484177723769,-0.7067820925991801,-0.9289713352720299,-0.12553630570767865,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.31816137053680593,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.2678098670557278
2,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.2367484177723769,-0.7067820925991801,-0.9289713352720299,-0.10541076940197097,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.31380094774470724,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.2678098670557278
3,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.193630631628122,-0.7067820925991801,-0.9289713352720299,-0.08511485322066249,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.3091437298020179,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.25440577953533133
4,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.193630631628122,-0.7067820925991801,-0.9289713352720299,-0.08511485322066249,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.2845780374171701,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.24419984702620826
5,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.7214408845482596,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.1513752012067522,-0.7067820925991801,-0.9289713352720299,-0.06496470862907439,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.23691076791361146,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.23773155386213174
6,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.6682463963212468,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.1513752012067522,-0.7067820925991801,-0.9289713352720299,-0.06496470862907439,-0.7447518512562257,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.23691076791361146,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.2273804589984132
7,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.6161157978587744,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.1095820266465695,-0.7067820925991801,-0.9289713352720299,-0.06496470862907439,-0.7110911436950536,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.21340688201929164,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.22406717928239733
8,0.33727903012758836,1.5817164723007864,-0.25324336561669825,0.3234783795889726,-1.6161157978587744,-0.7059468432513097,1.639706097053757,0.37540988591462254,-1.1095820266465695,-0.7067820925991801,-0.9289713352720299,-0.024809989332348337,-0.7110911436950536,-0.21468502463115344,-0.4900494869094422,0.024797059795425413,-1.6247309935064047,2.3816848742687498,-1.0676099477688,-0.7842543385428975,-0.4476257781394962,0.16250277779129263,-1.2241217091976782,0.6845788476082773,-0.1424521924997745,0.7172274220629749,1.3866416858653656,0.10187196633510487,-0.9988776983032255,0.7728876182148199,0.004068813952752013,-0.4913533162364381,0.8531919228929289,-0.20117578123871
