step,error
0,No more individual to be mutated
1,No more individual to be mutated
2,No more individual to be mutated
3,No more individual to be mutated
15,No improver found
16,No improver found
17,No improver found
18,No improver found
19,No improver found
20,No improver found
21,No improver found
22,No improver found
23,No improver found
24,No improver found
25,No improver found
26,No improver found
27,No improver found
28,No improver found
29,No improver found
30,No improver found
31,No improver found
32,No improver found
33,No improver found
34,No improver found
35,No improver found
36,No improver found
37,No improver found
38,No improver found
39,No improver found
40,No improver found
41,No improver found
42,No improver found
43,No improver found
44,No improver found
45,No improver found
46,No improver found
47,No improver found
48,No improver found
49,No improver found
50,No improver found
51,No improver found
52,No improver found
53,No improver found
54,No improver found
55,No improver found
56,No improver found
57,No improver found
58,No improver found
59,No improver found
60,No improver found
61,No improver found
62,No improver found
63,No improver found
64,No improver found
65,No improver found
66,No improver found
67,No improver found
68,No improver found
69,No improver found
70,No improver found
71,No improver found
72,No improver found
73,No improver found
74,No improver found
75,No improver found
76,No improver found
77,No improver found
78,No improver found
79,No improver found
80,No improver found
81,No improver found
82,No improver found
83,No improver found
84,No improver found
85,No improver found
86,No improver found
87,No improver found
88,No improver found
89,No improver found
90,No improver found
91,No improver found
92,No improver found
93,No improver found
94,No improver found
95,No improver found
96,No improver found
97,No improver found
98,No improver found
99,No improver found
100,No improver found
101,No improver found
102,No improver found
103,No improver found
104,No improver found
105,No improver found
106,No improver found
107,No improver found
108,No improver found
109,No improver found
110,No improver found
111,No improver found
112,No improver found
113,No improver found
114,No improver found
115,No improver found
116,No improver found
117,No improver found
118,No improver found
119,No improver found
120,No improver found
121,No improver found
122,No improver found
123,No improver found
124,No improver found
125,No improver found
126,No improver found
127,No improver found
128,No improver found
129,No improver found
130,No improver found
131,No improver found
132,No improver found
133,No improver found
134,No improver found
135,No improver found
136,No improver found
137,No improver found
138,No improver found
139,No improver found
140,No improver found
141,No improver found
142,No improver found
143,No improver found
144,No improver found
145,No improver found
146,No improver found
147,No improver found
148,No improver found
149,No improver found
150,No improver found
151,No improver found
152,No improver found
153,No improver found
154,No improver found
155,No improver found
156,No improver found
157,No improver found
158,No improver found
159,No improver found
160,No improver found
161,No improver found
162,No improver found
163,No improver found
164,No improver found
165,No improver found
166,No improver found
167,No improver found
168,No improver found
169,No improver found
170,No improver found
171,No improver found
172,No improver found
173,No improver found
174,No improver found
175,No improver found
176,No improver found
177,No improver found
178,No improver found
179,No improver found
180,No improver found
181,No improver found
182,No improver found
183,No improver found
184,No improver found
185,No improver found
186,No improver found
187,No improver found
188,No improver found
189,No improver found
190,No improver found
191,No improver found
192,No improver found
193,No improver found
194,No improver found
195,No improver found
196,No improver found
197,No improver found
198,No improver found
199,No improver found
200,No improver found
201,No improver found
202,No improver found
203,No improver found
204,No improver found
205,No improver found
206,No improver found
207,No improver found
208,No improver found
209,No improver found
210,No improver found
211,No improver found
212,No improver found
213,No improver found
214,No improver found
215,No improver found
216,No improver found
217,No improver found
218,No improver found
219,No improver found
220,No improver found
221,No improver found
222,No improver found
223,No improver found
224,No improver found
225,No improver found
226,No improver found
227,No improver found
228,No improver found
229,No improver found
230,No improver found
231,No improver found
232,No improver found
233,No improver found
234,No improver found
235,No improver found
236,No improver found
237,No improver found
238,No improver found
239,No improver found
240,No improver found
241,No improver found
242,No improver found
243,No improver found
244,No improver found
245,No improver found
