smiles,n_success_mut,n_failures_mut,silly_walks,total,obj_computation_time,history_data
CC(=O)Oc1ccccc1C(=O)O,395,605,0.0,0.0,0.000560760498046875,CC(=O)Oc1ccccc1C(=O)O
NOC(=O)c1ccc(CC(=O)O)cc1,4,0,0.0,0.0,0.0005426406860351562,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108
CC(=O)Oc1cccc(N)c1C(=O)O,3,0,0.0,0.0,0.0005409717559814453,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674
O=C(O)Cc1cc(F)c(C(=O)O)cc1O,0,3,0.0,0.0,0.0006132125854492188,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-23_AddA-50
NCCOc1ccc(N)cc1C(=O)O,2,0,0.0,0.0,0.000568389892578125,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2
Nc1cc(C(O)C(=O)O)ccc1C(=O)O,2,0,0.0,0.0,0.0005545616149902344,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-34_AddA-21
NCC(=O)Oc1cccc(N)c1C(=O)O,2,0,0.0,0.0,0.0005645751953125,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613
O=C(OO)c1cccc2c1OCC2,1,0,0.0,0.0,0.00054931640625,CC(=O)Oc1ccccc1C(=O)O|AddA-54_ChB-707_RmA-2
NOC(=O)c1ccc(CC(=O)O)cc1N,1,0,0.0,0.0,0.0006127357482910156,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|ChB-714_ChB-11_AddA-25
CC(=O)Oc1cc(N)ccc1C(=O)O,1,0,0.0,0.0,0.0006983280181884766,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-881_AddA-29_RmA-9
NCCOc1ccccc1C(=O)O,1,0,0.0,0.0,0.0004949569702148438,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-8_ChB-2316_ChB-1613
O=C(O)c1ccc(C(O)C(=O)O)cc1,0,0,0.0,0.0,0.000522613525390625,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-34_AddA-21|ChB-707_ChB-0_RmA-0
NCC(=O)Oc1ccccc1C(=O)O,1,0,0.0,0.0,0.0005242824554443359,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_ChB-709_ChB-6
NCCOc1c(N)cccc1C(=O)O,1,0,0.0,0.0,0.0005986690521240234,CC(=O)Oc1ccccc1C(=O)O|AddA-25_AddA-5_RmA-2
O=C(O)Cc1ccc(C(=O)O)cc1,1,0,0.0,0.0,0.0004897117614746094,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758
CC(=O)Oc1cc(N)c(N)cc1C(=O)O,1,0,0.0,0.0,0.0005602836608886719,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|RmA-9_AddA-33_AddA-29
O=C(O)c1cccc2c1OCC2,1,0,0.0,0.0,0.0005447864532470703,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-0_RmA-7_ChB-706
CC(=CC=CCC(=O)O)C(=O)O,1,0,0.0,0.0,0.0003695487976074219,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-34_AddA-21|RmA-0_RmA-1_RmA-3
CC(=O)Oc1ccc(N)cc1C(=O)O,1,0,0.0,0.0,0.00052642822265625,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0
Nc1cc2c(c(C(=O)OO)c1)OCC2,1,0,0.0,0.0,0.0005552768707275391,CC(=O)Oc1ccccc1C(=O)O|AddA-54_ChB-707_RmA-2|AddA-29_ChB-703_ChB-1406
NOC(=O)c1cc(N)c(CC(=O)O)cc1N,1,0,0.0,0.0,0.0005867481231689453,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|ChB-714_ChB-11_AddA-25|ChB-1419_ChB-13_AddA-29
NCC(=O)Oc1cc(N)ccc1C(=O)O,0,0,0.0,0.0,0.0005543231964111328,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-881_AddA-29_RmA-9|AddA-5_ChB-911_ChB-1614
NCCOc1cccc(N)c1C(=O)O,2,0,0.0,0.0,0.0005180835723876953,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-8_ChB-2316_ChB-1613|ChB-2316_ChB-1613_AddA-37
O=C1Cc2cccc(C(=O)O)c2O1,2,0,0.0,0.0,0.0007791519165039062,CC(=O)Oc1ccccc1C(=O)O|ChB-707_ChB-0_ChB-703
NOC(=O)c1ccc(CC(=O)O)c(N)c1,2,0,0.0,0.0,0.0005557537078857422,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|ChB-714_ChB-11_AddA-25|ChB-1419_ChB-13_AddA-29|RmA-15_AddA-61_RmA-15
NNCc1cc(N)cc(C(=O)OO)c1O,2,0,0.0,0.0,0.0006320476531982422,CC(=O)Oc1ccccc1C(=O)O|AddA-54_ChB-707_RmA-2|AddA-29_ChB-703_ChB-1406|AddA-57_AddA-61_RmA-12
CC(=O)Oc1ccc(N)cc1CO,2,0,0.0,0.0,0.0005047321319580078,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_AddA-37_RmA-0|RmA-8_AddA-33_RmA-11
Nc1c(C(=O)O)cccc1C(=O)OO,2,0,0.0,0.0,0.0005242824554443359,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_AddA-34_AddA-21|RmA-0_RmA-1_RmA-3|AddA-50_AddA-5_ChB-1410
Nc1ccc(C(=O)O)c2c1CCO2,3,0,0.0,0.0,0.0005295276641845703,CC(=O)Oc1ccccc1C(=O)O|AddA-33_AddA-5_RmA-2|RmA-0_RmA-7_ChB-706|ChB-2284_ChB-1581_AddA-29
NOC(=O)c1ccc(NCC(=O)O)c(N)c1,3,0,0.0,0.0,0.0005860328674316406,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|RmA-9_AddA-33_AddA-29|ChB-709_AddA-61_ChB-108
NOC(=O)Cc1ccc(C(=O)OO)cc1N,3,0,0.0,0.0,0.0005862712860107422,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758|AddA-46_AddA-53_AddA-13
NCCOc1c(N)cccc1C(=O)OO,1,0,0.0,0.0,0.0006766319274902344,CC(=O)Oc1ccccc1C(=O)O|AddA-25_AddA-5_RmA-2|ChB-2347_AddA-58_ChB-1644
CC(=O)Oc1cc(N)cc(N)c1C(=O)O,1,0,0.0,0.0,0.0005555152893066406,CC(=O)Oc1ccccc1C(=O)O|AddA-37_ChB-971_ChB-1674|ChB-2316_AddA-5_ChB-1613|RmA-10_ChB-709_ChB-6|ChB-711_ChB-0_AddA-33
NOC(=O)c1cccc(CC(=O)O)c1,2,0,0.0,0.0,0.0005254745483398438,CC(=O)Oc1ccccc1C(=O)O|ChB-707_AddA-53_ChB-108
NOC(=O)Cc1ccc(C(=O)OO)cc1,2,0,0.0,0.0,0.0007193088531494141,CC(=O)Oc1ccccc1C(=O)O|ChB-708_AddA-53_ChB-108|RmA-0_ChB-2461_ChB-1758|AddA-46_AddA-53_AddA-13|RmA-15_ChB-706_ChB-3
