step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0
5,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3,0,0,0,0,0,0
6,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,0,0,0
7,0,0,0,0,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,6,0,0,0,0,0,0
8,0,0,0,0,40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,7,0,0,0,0,0,0
9,0,0,0,0,45,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,8,0,0,0,0,0,0
10,0,0,0,0,49,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,8,0,0,0,0,0,0
11,0,0,0,0,54,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,8,0,0,0,0,0,0
12,0,0,0,0,59,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,9,0,0,0,0,0,0
13,0,0,0,0,64,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,10,0,0,0,0,0,0
14,0,0,0,0,67,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,14,0,0,0,0,0,0
15,0,0,0,0,73,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,17,0,0,0,0,0,0
16,0,0,0,0,81,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,19,0,0,0,0,0,0
17,0,0,0,0,89,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,21,0,0,0,0,0,0
18,0,0,0,0,91,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,24,0,0,0,0,0,0
19,0,0,0,0,91,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,28,0,0,0,0,0,0
20,0,0,0,0,97,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,32,0,0,0,0,0,0
21,0,0,0,0,101,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,35,0,0,0,0,0,0
22,0,0,0,0,107,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,37,0,0,0,0,0,0
23,0,0,0,0,111,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,38,0,0,0,0,0,0
24,0,0,0,0,116,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0,0,0,40,0,0,0,0,0,0
25,0,0,0,0,121,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,43,0,0,0,0,0,0
26,0,0,0,0,126,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,0,0,43,0,0,0,0,0,0
27,0,0,0,0,128,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,0,0,47,0,0,0,0,0,0
28,0,0,0,0,130,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,48,0,0,0,0,0,0
29,0,0,0,0,136,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,50,0,0,0,0,0,0
30,0,0,0,0,144,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,53,0,0,0,0,0,0
31,0,0,0,0,147,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,57,0,0,0,0,0,0
32,0,0,0,0,153,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,61,0,0,0,0,0,0
33,0,0,0,0,156,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,0,0,0,63,0,0,0,0,0,0
34,0,0,0,0,161,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,0,0,0,66,0,0,0,0,0,0
35,0,0,0,0,166,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,0,0,0,67,0,0,0,0,0,0
36,0,0,0,0,172,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0,68,0,0,0,0,0,0
37,0,0,0,0,176,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,0,0,0,70,0,0,0,0,0,0
38,0,0,0,0,179,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,0,0,0,71,0,0,0,0,0,0
39,0,0,0,0,180,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,10,0,0,0,73,0,0,0,0,0,0
40,0,0,0,0,184,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10,0,0,0,77,0,0,0,0,0,0
41,0,0,0,0,190,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11,0,0,0,79,0,0,0,0,0,0
42,0,0,0,0,192,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,12,0,0,0,80,0,0,0,0,0,0
43,0,0,0,0,195,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,14,0,0,0,82,0,0,0,0,0,0
44,0,0,0,0,200,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14,0,0,0,83,0,0,0,0,0,0
45,0,0,0,0,204,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14,0,0,0,84,0,0,0,0,0,0
46,0,0,0,0,207,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,14,0,0,0,86,0,0,0,0,0,0
47,0,0,0,0,209,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,14,0,0,0,92,0,0,0,0,0,0
48,0,0,0,0,215,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,0,0,0,93,0,0,0,0,0,0
49,0,0,0,0,220,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,14,0,0,0,94,0,0,0,0,0,0
50,0,0,0,0,222,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,15,0,0,0,97,0,0,0,0,0,0
51,0,0,0,0,226,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0,0,0,100,0,0,0,0,0,0
52,0,0,0,0,232,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0,0,0,102,0,0,0,0,0,0
