step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,18,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,1,1
2,0,0,0,0,30,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,22,0,1,0,0,2,0,0,1,1,1,1
3,0,0,0,0,97,0,0,0,1,0,1,1,1,0,2,1,1,1,0,1,0,0,47,2,1,0,1,15,1,1,1,1,1,1
4,0,0,0,0,113,0,0,0,1,0,1,1,1,0,2,1,1,1,0,1,0,0,67,5,1,0,1,19,1,1,1,1,1,1
5,0,0,0,0,136,0,0,1,1,0,1,1,1,0,2,1,1,1,0,1,0,0,76,5,1,0,1,26,1,1,1,1,1,1
6,0,0,0,0,164,2,0,1,1,0,1,1,1,0,2,1,1,1,0,1,0,0,88,12,1,0,1,36,1,1,1,1,1,1
7,0,0,0,0,202,8,0,1,1,0,1,1,1,0,2,1,1,1,0,1,0,0,101,14,1,0,1,53,1,1,1,1,1,1
8,0,1,0,0,235,11,0,4,1,0,1,1,1,0,2,1,1,1,0,1,0,0,119,15,1,0,1,55,1,1,1,1,1,1
9,0,1,0,0,267,13,0,4,1,0,1,1,1,0,2,1,1,1,0,1,0,0,134,18,1,0,1,62,1,1,1,1,1,1
10,0,1,0,0,304,23,0,4,1,0,1,1,1,0,2,1,1,1,0,1,0,0,150,18,1,0,1,66,1,1,1,1,1,1
11,0,1,0,0,325,27,0,4,1,0,1,1,1,0,2,1,1,1,0,1,0,0,169,19,1,0,1,71,1,1,1,1,1,1
12,0,1,0,0,380,29,0,8,1,0,1,1,1,0,2,1,1,1,0,1,0,0,206,24,1,0,1,85,1,1,1,1,1,1
13,0,1,0,0,420,31,0,10,1,0,1,1,1,0,2,1,1,1,0,1,0,0,226,27,1,0,1,94,1,1,1,1,1,1
14,0,1,0,0,450,31,0,17,1,0,1,1,1,0,2,1,1,1,0,1,0,0,241,29,1,0,1,103,1,1,1,1,1,1
15,0,1,0,0,468,32,0,17,1,0,1,1,1,0,2,1,1,1,0,1,0,0,247,29,1,0,1,109,1,1,1,1,1,1
16,0,1,0,0,522,39,1,18,1,0,1,1,1,0,2,1,1,1,0,1,0,0,270,32,1,0,1,119,1,1,1,1,1,1
17,0,1,0,0,617,40,1,19,1,0,1,1,1,0,2,1,1,1,0,1,0,0,295,34,1,0,1,125,1,1,1,1,1,1
18,0,1,0,0,685,45,1,19,1,0,1,1,1,0,2,1,1,1,0,1,0,0,314,38,1,0,1,145,1,1,1,1,1,1
19,0,1,0,0,726,46,1,19,1,0,1,1,1,0,2,1,1,1,0,1,0,0,355,46,1,0,1,160,1,1,1,1,1,1
20,0,1,0,0,773,47,1,19,1,0,1,1,1,0,2,1,1,1,0,1,0,0,381,54,1,0,1,172,1,1,1,1,1,1
21,0,1,0,0,788,48,1,21,1,0,1,1,1,0,2,1,1,1,0,1,0,0,390,54,1,0,1,191,1,1,1,1,1,1
22,0,1,0,0,825,58,1,21,1,0,1,1,1,0,2,1,1,1,0,1,0,0,425,65,1,0,1,248,1,1,1,1,1,1
23,0,1,0,0,869,63,1,21,1,0,1,1,1,0,2,1,1,1,0,1,0,0,437,71,1,0,1,282,1,1,1,1,1,1
24,0,1,0,0,933,67,1,24,1,0,1,1,1,0,2,1,1,1,0,1,0,0,456,74,1,0,1,310,1,1,1,1,1,1
25,0,1,0,0,979,67,1,24,1,0,1,1,1,0,2,1,1,1,0,1,0,0,475,76,1,0,1,331,1,1,1,1,1,1
26,0,1,0,0,1040,72,1,29,1,0,1,1,1,0,2,1,1,1,0,1,0,0,521,89,1,0,1,339,1,1,1,1,1,1
27,0,1,0,0,1096,72,1,29,1,0,1,1,1,0,2,1,1,1,1,1,0,0,564,104,1,0,1,351,1,1,1,1,1,1
28,0,1,0,0,1139,73,1,31,1,0,1,1,1,0,2,1,1,1,1,1,0,0,593,111,1,0,1,360,1,1,1,1,1,1
