history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-42|AddA-46|AddA-68|AddA-72|AddA-76|AddA-54|AddA-4|AddA-8,0.0,0.0,CNCC(=O)Oc1c(OO)cc(OO)cc1C(=O)OCC(C)C
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-6|RmA-0|AddA-26|AddA-22|ChB-1644|RmA-11|AddA-26,0.0,0.0,O=CCOc1c(C(=O)O)cc(O)c(F)c1O
CC(=O)Oc1ccccc1C(=O)O|AddA-33|AddA-27|AddA-5,0.0,0.0,NCC(=O)Oc1c(F)cc(N)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|RmA-2|AddA-9|RmA-13|RmA-12|RmA-11|AddA-24|RmA-9,0.0,0.0,CCOc1cc(C)ccc1C
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-6|AddA-16|AddA-42|AddA-6,0.0,0.0,O=C(COCO)Oc1c(C(=O)O)ccc(O)c1O
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|RmA-16|AddA-40|RmA-5,0.0,0.0,CCNCCOc1c(CO)cc(F)cc1OC
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|AddA-6|RmA-0|AddA-12|RmA-7|AddA-4|RmA-10,0.0,0.0,CCOC(=O)c1ccccc1OCCNCCO
CC(=O)Oc1ccccc1C(=O)O|AddA-6|AddA-37|RmA-7|RmA-12,0.0,0.0,Nc1ccc(OCCO)c(C=O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-26|AddA-6|AddA-16|AddA-44|AddA-50,0.0,0.0,COCC(=O)Oc1c(O)cc(CO)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|RmA-16|AddA-42|RmA-13,0.0,0.0,CCNCC(=O)Oc1c(CO)cccc1OO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-4|AddA-5|AddA-36|RmA-7|AddA-56|RmA-4|AddA-28|AddA-23|RmA-13|AddA-38|AddA-70,0.0,0.0,COCc1c(F)cc(CO)cc1OCCC(N)CO
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-31|AddA-5|RmA-15|RmA-0|RmA-13|AddA-54|AddA-4|AddA-9|RmA-9|AddA-37,0.0,0.0,CC(N)C(=O)Oc1cc(N)cc(F)c1CO
CC(=O)Oc1ccccc1C(=O)O|AddA-31|AddA-38|AddA-5|RmA-15|AddA-4|AddA-4|AddA-6|ChB-1878|AddA-68|RmA-13|AddA-4|AddA-6,0.0,0.0,O=CCNCCOc1cc(F)c(O)cc1C(=O)CCO
CC(=O)Oc1ccccc1C(=O)O|AddA-32|AddA-38|AddA-27|RmA-2|AddA-4|RmA-15|RmA-6|AddA-30|ChB-1703,0.0,0.0,CCCOc1cc(O)c(C=O)cc1C=O
CC(=O)Oc1ccccc1C(=O)O|AddA-39|AddA-6|RmA-13|RmA-0|RmA-0|AddA-26|AddA-4|AddA-34|RmA-14|RmA-8,0.0,0.0,CCCOc1cc(O)cc(F)c1C
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-42|AddA-46|AddA-4|RmA-4|AddA-68|AddA-8,0.0,0.0,COC(=O)c1cc(OO)cc(O)c1OCCN(C)C
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-42|AddA-46|AddA-68|AddA-72|AddA-76|AddA-54|AddA-4|RmA-18,0.0,0.0,CCCOC(=O)c1cc(OO)cc(OO)c1OCCNC
CC(=O)Oc1ccccc1C(=O)O|AddA-5|AddA-30|AddA-43|AddA-4|AddA-4|AddA-6|RmA-0|AddA-12|RmA-7|AddA-4|AddA-4,0.0,0.0,CCCOC(=O)c1cccc(O)c1OCCNCCO
