smiles,n_success_mut,n_failures_mut,silly_walks,total,obj_computation_time,history_data
CC(=O)Oc1ccccc1C(=O)O,205,795,0.0,0.0,0.0005204677581787109,CC(=O)Oc1ccccc1C(=O)O
CC(=O)Oc1c(C)cccc1C(=O)O,4,0,0.0,0.0,0.0005333423614501953,CC(=O)Oc1ccccc1C(=O)O|AddA-24
CC(=O)Oc1ccc(O)cc1C(=O)O,3,0,0.0,0.0,0.0005419254302978516,CC(=O)Oc1ccccc1C(=O)O|AddA-34
CC(=O)Oc1cccc(N)c1C(=O)O,3,0,0.0,0.0,0.0005419254302978516,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37
O=C(CO)Oc1ccccc1C(=O)O,2,0,0.0,0.0,0.00052642822265625,CC(=O)Oc1ccccc1C(=O)O|AddA-14
CC(=O)Oc1c(C(=O)O)cc(O)c(C)c1C,2,0,0.0,0.0,0.0005967617034912109,CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28
CC(=O)Oc1cc2c(cc1C(=O)O)O2,2,0,0.0,0.0,0.0005691051483154297,CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916
CC(=O)Oc1cc(F)cc(N)c1C(=O)O,2,0,0.0,0.0,0.0005624294281005859,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31
CC(=O)Oc1cccc(O)c1C(=O)O,1,0,0.0,0.0,0.0007507801055908203,CC(=O)Oc1ccccc1C(=O)O|AddA-38
CC(=O)Oc1c(C)ccc(C)c1C(=O)O,1,0,0.0,0.0,0.0005662441253662109,CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-36
CC(=O)Oc1cc(O)ccc1C(=O)O,0,0,0.0,0.0,0.0005335807800292969,CC(=O)Oc1ccccc1C(=O)O|AddA-34|RmA-13_AddA-30
CC(=O)Oc1cc(C)cc(N)c1C(=O)O,0,0,0.0,0.0,0.0005638599395751953,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-28
O=C(CO)Oc1cc(O)ccc1C(=O)O,0,0,0.0,0.0,0.0005676746368408203,CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-30
CC(=O)Oc1cc(C)c(O)cc1C(=O)O,0,0,0.0,0.0,0.0007555484771728516,CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|RmA-13
CCC(=O)Oc1cc2c(cc1C(=O)O)O2,0,0,0.0,0.0,0.0007026195526123047,CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916|AddA-12
CC(C)C(=O)Oc1cc(F)cc(N)c1C(=O)O,1,0,0.0,0.0,0.0006349086761474609,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31|AddA-12_AddA-12
CCC(=O)Oc1ccccc1C(=O)O,1,0,0.0,0.0,0.0005199909210205078,CC(=O)Oc1ccccc1C(=O)O|AddA-12
CC(=O)Oc1c(F)cccc1C(=O)O,1,0,0.0,0.0,0.0005254745483398438,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-27
NCC(=O)Oc1ccc(O)cc1C(=O)O,1,0,0.0,0.0,0.0005509853363037109,CC(=O)Oc1ccccc1C(=O)O|AddA-34|AddA-13
COC(=O)c1c(N)cccc1OC(C)=O,2,0,0.0,0.0,0.0005581378936767578,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-52
O=C(CO)Oc1cccc(O)c1C(=O)O,2,0,0.0,0.0,0.0005712509155273438,CC(=O)Oc1ccccc1C(=O)O|AddA-14|AddA-38
CCc1c(C)c(O)cc(C(=O)O)c1OC(C)=O,2,0,0.0,0.0,0.0006916522979736328,CC(=O)Oc1ccccc1C(=O)O|AddA-24|AddA-34_AddA-28|AddA-56
CC(=O)Oc1ccc(F)cc1C(=O)O,2,0,0.0,0.0,0.0005266666412353516,CC(=O)Oc1ccccc1C(=O)O|AddA-34|ChB-916|RmA-13_AddA-35
CC(=O)Oc1cc(F)ccc1C(=O)O,2,0,0.0,0.0,0.0005249977111816406,CC(=O)Oc1ccccc1C(=O)O|AddA-24|RmA-13_AddA-37|AddA-31|RmA-13
