history_data,total,silly_walks,smiles
CC(=O)Oc1ccccc1C(=O)O|AddA-32_ChB-916|AddA-15_AddA-52_RmA-14|ChB-243_AddA-26|AddA-60_AddA-57|RmA-15_RmA-15_AddA-56|RmA-16_AddA-58|RmA-15|ChB-787_RmA-14_AddA-57,0.0,0.0,CC(=O)Oc1cc(C(N)O)ccc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-36|ChB-786_RmA-13_AddA-14|AddA-31_RmA-13_AddA-52|RmA-13_AddA-37|ChB-787_RmA-13_ChB-83|AddA-12|ChB-1809_AddA-62_RmA-13|RmA-14_AddA-28_AddA-58|ChB-1082_RmA-15_ChB-946,0.0,0.0,O=C1CCc2cc3c(cc2COC3=O)O1
CC(=O)Oc1ccccc1C(=O)O|AddA-35_AddA-13_AddA-31|RmA-14,0.0,0.0,CC(=O)Oc1cc(F)c(F)cc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-36|RmA-13_AddA-26|RmA-13_AddA-33|ChB-916|AddA-53_RmA-13_AddA-26|AddA-13_RmA-13|AddA-12|RmA-13,0.0,0.0,CC(N)C(=O)Oc1ccccc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-54|AddA-33|AddA-60|AddA-39_RmA-16_RmA-13|AddA-13_AddA-26_AddA-12|RmA-17|AddA-12_RmA-15|RmA-16,0.0,0.0,CNc1cc(O)c(OC(C)=O)c(C(=O)O)c1
CC(=O)Oc1ccccc1C(=O)O|AddA-25_ChB-1489_AddA-54,0.0,0.0,O=C(OO)c1cccc2ncc(=O)oc12
CC(=O)Oc1ccccc1C(=O)O|AddA-54_AddA-12|AddA-29|AddA-64,0.0,0.0,CCC(=O)Oc1cc(NC)ccc1C(=O)OO
CC(=O)Oc1ccccc1C(=O)O|AddA-37_AddA-29|AddA-14|ChB-885_ChB-947_RmA-13|RmA-13_AddA-27,0.0,0.0,O=C(CO)Oc1c(F)cccc1C(=O)O
CC(=O)Oc1ccccc1C(=O)O|AddA-54|AddA-33|AddA-60|AddA-39_RmA-16_RmA-13|AddA-13_AddA-26_AddA-12|RmA-17|ChB-1108_AddA-29_RmA-16|AddA-54,0.0,0.0,CNc1cc(C(=O)OO)c(OC(=O)CN)cc1N
CC(=O)Oc1ccccc1C(=O)O|AddA-36|ChB-786_RmA-13_AddA-14|AddA-31_RmA-13_AddA-52|RmA-13_AddA-37|AddA-56_ChB-1833_RmA-14|RmA-14_AddA-30|AddA-33_RmA-13|RmA-14_AddA-35|AddA-26_AddA-58_RmA-16,0.0,0.0,CC(=O)Oc1c(C(=O)O)cc(F)c(O)c1O
